Ev Sahibiyken Gol,Deplasmandeyken Gol,Puan,Ev Sahibiyken Puan,Deplasmandayken Puan,goal_difference,Toplam Puan,home_points_ratio,away_points_ratio,home_goal_ratio,away_goal_ratio,Sıra,away_goals_prc,home_goals_prc,countered_points,Kategori
60,34,89,52,37,26,94,0.46,0.32,0.53,0.3,1,0.36,0.64,89.0,Şampiyon
53,35,84,45,39,18,88,0.39,0.34,0.46,0.31,2,0.4,0.6,84.0,UCL
36,22,75,48,27,14,58,0.42,0.24,0.32,0.19,3,0.38,0.62,75.0,UCL
36,32,71,39,32,4,68,0.34,0.28,0.32,0.28,4,0.47,0.53,71.0,UCL
46,29,67,44,23,17,75,0.39,0.2,0.4,0.25,5,0.39,0.61,67.0,UEL
37,35,62,34,28,2,72,0.3,0.25,0.32,0.31,6,0.49,0.51,62.0,UEL
33,18,61,38,23,15,51,0.33,0.2,0.29,0.16,7,0.35,0.65,61.0,Orta Sıra
37,33,60,37,23,4,70,0.32,0.2,0.32,0.29,8,0.47,0.53,60.0,Orta Sıra
35,23,59,37,22,12,58,0.32,0.19,0.31,0.2,9,0.4,0.6,59.0,Orta Sıra
31,24,52,29,23,7,55,0.25,0.2,0.27,0.21,10,0.44,0.56,52.0,Orta Sıra
21,19,45,28,17,2,40,0.25,0.15,0.18,0.17,11,0.48,0.52,45.0,Orta Sıra
20,18,44,25,19,2,38,0.22,0.17,0.18,0.16,12,0.47,0.53,44.0,Orta Sıra
19,12,41,30,11,7,31,0.26,0.1,0.17,0.11,13,0.39,0.61,41.0,Orta Sıra
26,16,40,28,12,10,42,0.25,0.11,0.23,0.14,14,0.38,0.62,40.0,Orta Sıra
20,17,39,22,17,3,37,0.19,0.15,0.18,0.15,15,0.46,0.54,39.0,Orta Sıra
16,18,36,21,15,-2,34,0.18,0.13,0.14,0.16,16,0.53,0.47,36.0,Orta Sıra
23,28,34,19,15,-5,51,0.17,0.13,0.2,0.25,17,0.55,0.45,34.0,Orta Sıra
26,22,31,22,9,4,48,0.19,0.08,0.23,0.19,18,0.46,0.54,31.0,Ligden Düşen
19,17,25,11,14,2,36,0.1,0.12,0.17,0.15,19,0.47,0.53,25.0,Ligden Düşen
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,,,0.0,Ligden Düşen
