,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,X,Y,Merkez,Uzaklik,Açi,Açi_D,Gol,Kafa Vuruşu,Ceza Sahasi İçi,accurate,D2,Goal,AçiX,AçiY,Dar Açi,X2,AX,Y2,Uzaklik2,Merkez2,YEXP,Açi2,xG
46,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",25413,"[{'y': 41, 'x': 88}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,94.59578800000003,100,177959212,12.600000000000001,27.880000000000003,6.12,14.007655050007479,0.4672407563068554,26.770923352883415,1,0,True,1,196.2144,1,5.8872335294663785,13.02667228583513,False,158.76000000000005,5.8872335294663785,777.2944000000001,196.2144,37.4544,10.256478819859813,0.21831392435420224,0.05575363796007976
62,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1211}, {'id': 1802}]",26150,"[{'y': 52, 'x': 85}, {'y': 100, 'x': 100}]",2499719,Shot,1631,1H,179.854785,100,177959247,15.75,35.36,1.36,15.808608414405109,0.4535574059503353,25.986925127855983,0,0,True,0,249.9121,0,7.143529143717781,16.037789874403856,False,248.0625,7.143529143717781,1250.3296,249.9121,1.8496000000000004,13.0082170398222,0.20571432049239724,0.03767511523120876
91,10,Shot,"[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1207}, {'id': 1801}]",14763,"[{'y': 52, 'x': 96}, {'y': 100, 'x': 100}]",2499719,Shot,1631,1H,254.745027,100,177959280,4.2,35.36,1.36,4.4147027079974475,1.3751152583633357,78.78830064826091,1,1,True,1,19.489599999999996,1,5.77548408512601,48.62407553572755,False,17.64,5.77548408512601,1250.3296,19.489599999999996,1.8496000000000004,13.0082170398222,1.8909419737836635,0.225217220833536
128,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1215}, {'id': 1802}]",7868,"[{'y': 33, 'x': 81}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,425.824035,100,177959289,19.95,22.44,11.56,23.057235306948662,0.27466602628243997,15.737204081613156,0,0,False,0,531.6360999999999,0,5.4795872243346775,6.163505629777953,False,398.0025,5.4795872243346775,503.5536000000001,531.6360999999999,133.6336,8.255214659887166,0.075441425993786,0.01268024268827502
249,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",7868,"[{'y': 30, 'x': 75}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,815.462015,100,177959429,26.25,20.400000000000002,13.600000000000001,29.563871532666354,0.21966479519538096,12.585865672300933,0,0,False,1,874.0225,0,5.76620087387875,4.481161821985772,True,689.0625,5.76620087387875,416.1600000000001,874.0225,184.96000000000004,7.504740599897424,0.04825262224822866,0.004170962578830275
394,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",7945,"[{'y': 39, 'x': 90}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1286.06165,100,177959606,10.5,26.520000000000003,7.48,12.891873409245067,0.4660404743507508,26.702152262572916,0,0,True,0,166.20040000000003,0,4.893424980682884,12.359393379781913,False,110.25,4.893424980682884,703.3104000000002,166.20040000000003,55.95040000000001,9.756162779866653,0.2171937237330728,0.06812484952895574
401,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",49876,"[{'y': 36, 'x': 69}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1301.831901,100,177959611,32.550000000000004,24.48,9.520000000000001,33.9136093626143,0.20661399812158704,11.838110080690855,0,0,False,0,1150.1329000000005,0,6.725285638857659,5.057910674016451,True,1059.5025000000003,6.725285638857659,599.2704,1150.1329000000005,90.63040000000002,9.00568871987691,0.04268934421978717,0.001846295134597182
493,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",7945,"[{'y': 58, 'x': 86}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1546.222971,100,177959714,14.700000000000001,39.440000000000005,5.44,15.674297432421016,0.4338057243336967,24.855237132936455,0,0,True,0,245.68360000000004,0,6.376944147705342,17.109297767721,False,216.09000000000003,6.376944147705342,1555.5136000000005,245.68360000000004,29.593600000000006,14.509165159801688,0.18818740646468324,0.0366942002950406
514,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1204}, {'id': 1801}]",14869,"[{'y': 32, 'x': 90}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1583.298344,100,177959740,10.5,21.76,12.24,16.12661154737721,0.3020536617372043,17.30640000401401,0,0,True,1,260.0675999999999,0,3.1715634482406454,6.572687679401566,False,110.25,3.1715634482406454,473.4976000000001,260.0675999999999,149.8176,8.005056639890586,0.09123641456885345,0.04206179936852728
519,10,Shot,"[{'id': 402}, {'id': 1216}, {'id': 1802}]",120339,"[{'y': 36, 'x': 73}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1605.799842,100,177959749,28.35,24.48,9.520000000000001,29.905733563984015,0.23134656414967567,13.255181730628973,0,0,False,0,894.3529000000001,0,6.558675093643306,5.66336389038406,True,803.7225000000001,6.558675093643306,599.2704,894.3529000000001,90.63040000000002,9.00568871987691,0.053521232743859996,0.0037330683382109224
